id,lat,lon
7899,55.666667,12.583333
7900,56.551663,10.298744
7901,None,None
7902,55.666667,12.583333
7903,57.035498,9.941163
7904,55.972565,10.014138
7905,55.666667,12.583333
7906,55.650000,12.600000
7907,55.678467,12.522092
7908,None,None
7909,55.666667,12.583333
7910,55.666667,12.583333
7911,55.666667,12.583333
7912,55.666667,12.583333
7913,55.666667,12.583333
7914,55.666667,12.583333
7915,55.666667,12.583333
7916,55.450484,10.658433
7917,55.650000,12.600000
7918,55.356790,11.685573
7919,55.666667,12.583333
7920,55.822496,12.573236
7921,55.666667,12.583333
7922,57.466323,9.988917
7923,55.666667,12.583333
7924,55.933333,12.316667
7925,55.224898,11.784213
7926,55.666667,12.583333
7927,None,None
7928,55.666667,12.583333
7929,55.666667,12.583333
7930,55.666667,12.583333
7931,55.771785,12.505991
7932,55.666667,12.583333
7933,56.460704,10.036390
7934,55.666667,12.583333
7935,55.666667,12.583333
7936,None,None
7937,55.666667,12.583333
7938,55.666667,12.583333
7939,None,None
7940,None,None
7941,None,None
7942,None,None
7943,55.666667,12.583333
7944,56.297085,10.062110
7945,55.650000,12.600000
7946,54.850378,11.854024
7947,55.666667,12.583333
7948,55.666667,12.583333
7949,55.666667,12.583333
7950,None,None
7951,56.086943,9.907099
7952,55.666667,12.583333
7953,55.666667,12.583333
7954,56.809361,8.406542
7955,None,None
7956,56.363659,8.694982
7957,55.666667,12.583333
7958,55.666667,12.583333
7959,55.739009,12.576974
7960,54.835136,12.000373
7961,None,None
7962,None,None
7963,55.069205,10.498872
7964,55.666667,12.583333
7965,55.944393,12.034006
7966,55.489289,11.567585
7967,55.711832,9.890373
7968,55.666667,12.583333
7969,55.785689,11.466735
7970,55.666667,12.583333
7971,55.666667,12.583333
7972,55.666667,12.583333
7973,55.248185,12.267608
7974,55.666667,12.583333
7975,None,None
7976,54.983333,11.900000
7977,None,None
7978,55.678467,12.522092
7979,55.708391,9.542763
7980,None,None
7981,None,None
7982,55.666667,12.583333
7983,57.443803,10.547177
7984,55.666667,12.583333
7985,55.250000,11.800000
7986,55.666667,12.583333
7987,55.646202,12.636435
7988,55.666667,12.583333
7989,55.666667,12.583333
7990,None,None
7991,55.934936,12.226108
7992,None,None
7993,55.100907,14.706636
7994,55.646202,12.636435
7995,55.666667,12.583333
7996,56.390383,8.349179
7997,55.393475,10.394935
7998,55.666667,12.583333
7999,56.029377,12.586267
8000,55.650000,12.600000
8001,55.666667,12.583333
8002,55.666667,12.583333
8003,None,None
8004,56.029377,12.586267
8005,55.442169,11.621121
8006,55.640094,12.080540
8007,55.666667,12.583333
8008,55.666667,12.583333
8009,55.194971,12.089545
8010,55.650000,12.600000
8011,55.666667,12.583333
8012,55.666667,12.583333
8013,55.594566,12.668952
8014,55.662115,12.186975
8015,55.678467,12.522092
8016,56.791688,8.849895
8017,56.068234,12.557821
8018,55.650000,12.600000
8019,55.666667,12.583333
8020,55.666667,12.583333
8021,55.635239,12.648948
8022,55.393475,10.394935
8023,None,None
8024,55.666667,12.583333
8025,55.807139,8.394841
8026,55.666667,12.583333
8027,56.040090,10.093077
8028,None,None
8029,55.739009,12.576974
8030,55.666667,12.583333
8031,55.666667,12.583333
8032,55.666667,12.583333
8033,55.666667,12.583333
8034,None,None
8035,56.153423,10.225530
8036,55.719777,12.352019
8037,55.666667,12.583333
8038,55.666667,12.583333
8039,56.629610,10.312325
8040,55.666667,12.583333
8041,55.595750,11.861583
8042,55.646202,12.636435
8043,55.651014,12.598493
8044,55.326574,11.150012
8045,None,None
8046,55.678467,12.522092
8047,55.666667,12.583333
8048,55.666667,12.583333
8049,None,None
8050,55.666667,12.583333
8051,55.666667,12.583333
8052,55.666667,12.583333
8053,55.393475,10.394935
8054,55.441121,11.809437
8055,56.958788,8.696409
8056,55.666667,12.583333
8057,55.650000,12.600000
8058,54.837343,11.128390
8059,55.719777,12.352019
8060,55.666667,12.583333
8062,55.666667,12.583333
8063,55.666667,12.583333
8064,55.813244,9.527503
8065,55.666667,12.583333
8066,56.153423,10.225530
8067,55.402719,11.354142
8068,54.798046,11.630404
